keyword,location,text,target,cleaned_text,token_length
accident,"Colorado, Brighton",RT! Prince Harry just confirmed that his mother’s (Princess Diana) death was not an accident! https://t.co/1ADe3uZ3eR,1,rt prince harry confirmed mother princess diana death accident,9
accident,unknown,Note to Democrats: It’s not a Muslim ban. Islam is not a race. Soleimani was a terrorist &amp; was exterminated not assas…,0,note democrat muslim ban islam race soleimani terrorist amp exterminated assas,11
accident,"North Carolina, USA",Juwan Johnson/Oregon is one big dude. Looks like a tight end stuck in the receiver group by accident.,0,juwan johnsonoregon one big dude look like tight end stuck receiver group accident,13
accident,kurger bing,More appearances of the man with the upside-down face. A New Year’s Eve party at an Air Force base in 1943 where a man…,0,appearance man upsidedown face new year eve party air force base man,12
accident,"Faridabad, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…",1,speeding car rammed group people returning attending temple festival ayyappan kavu thum,12
accident,60,My friend (an army) just lost her father in an accident and her mom right now is still unconscious. Please pray for her mo…,1,friend army lost father accident mom right still unconscious please pray mo,12
accident,ngovhela Mahunguni,MLINDO THE VOCALIST IN ANOTHER CAR ACCIDENT https://t.co/BXR9rEgAk6,1,mlindo vocalist another car accident,5
accident,unknown,"“There are no greater treasures than the highest human qualities such as compassion, courage and hope. Not even tragic accide…",0,greater treasure highest human quality compassion courage hope even tragic accide,11
accident,Germany,Please help our friends in - they have had a non fault accident that's resulted in their vehicle being writte…,0,please help friend non fault accident resulted vehicle writte,9
accident,"South Beach, FL",When you hurt your younger sibling by “accident” https://t.co/DAMTEoQtZU,0,hurt younger sibling accident,4
accident,"London, United Kingdom",David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,1,david camerons decision hold referendum expressed medium road traffic accident,10
accident,"Phoenix, AZ 85017",An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,1,auto accident injury set process motion get complicated find long take settle,12
accident,"England, UK ",no one has the right to call a baby an accident. jd himself called it a blessing. he used the loveliest word to describe what…,0,one right call baby accident jd called blessing used loveliest word describe,12
accident,"Melbourne, Australia",I actually posted this by accident to twitter but have decided this can stay,0,actually posted accident twitter decided stay,6
accident,"Pearland, TX",Question: let’s say you are happily married and your husband dies in a tragic accident. You are deveststed but this pussy not…,0,question let u say happily married husband dy tragic accident deveststed pussy,12
accident,Africa,The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,1,kampala metropolitan east custody two suspect allegedly strangled death passenger,10
accident,"California, USA","In completely available public information , the fires were mostly started by humans on purpose or on accident with th…",0,completely available public information fire mostly started human purpose accident th,11
accident,unknown,During my PhD there was a colleague who went out of her way to bully and cause work discomfort for me. I… https://t.co/G3hivXZo8T,0,phd colleague went way bully work discomfort,7
accident,"Kerala, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",1,speeding car rammed group people returning attending temple festival ayyappan ka,11
accident,"Staffordshire,England","6yr old Bella needs a new home due to an incident that was an accident, she can live with older kids and in the right ho…",0,yr old bella need new home due incident accident live older kid right ho,14
accident,unknown,"👀Look at this shit,😠she need her little ass whooped before she hit somebody by accident. #lecheminduroi #bransoncognac #starzge…",0,look shitshe need little as whooped hit somebody accident lecheminduroi bransoncognac starzge,12
accident,"Port Harcourt, Nigeria",You're not an accident on the earth. You're God's divinely crafted masterpiece. He designed you with a destiny in v… https://t.co/KfC7Tpwuj6,0,accident earth god divinely crafted masterpiece designed destiny v,9
accident,unknown,Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,1,iran say shot ukraine international flight accident picture aircraft,9
accident,Everywhere,Saw this truck with the container almost falling off this morning. Reported…,1,saw truck container almost falling morning reported,7
accident,"Ann Arbor, MI",Judge less smile more. It isn’t the oldest profession by accident lol,0,judge less smile oldest profession accident lol,7
aftershock,Global,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,1,puerto rico hit another magnitude aftershock kyma,7
aftershock,"Puerto Rico, USA",3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1,aftershock asleep movement bed woke scary wish,7
aftershock,In the mind of haters.,"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…",1,good night friend per usgs new quake morning caused day aftershock forecast change,13
aftershock,Czech Republic,Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM,0,yea long killed like second sure would,7
aftershock,USA,Honored to have an essay in #AfterShock Marking the 50th anniversary of Alvin Toffler’s Future Shock Compendium of essays in t…,0,honored essay aftershock marking th anniversary alvin tofflers future shock compendium essay,12
aftershock,unknown,TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio,0,ticket sale aftershock nowplaying khdradio,5
aftershock,"Bay Area, CA",Come with us to Aftershock!,0,come u aftershock,3
aftershock,"Great Southwest, U.S.A.",o_O ! I think I felt your aftershock,0,oo think felt aftershock,4
aftershock,"Katowice, Poland",A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,1,quick comparison ongoing puerto rico earthquake sequence central california sequenc,10
aftershock,unknown,"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…",1,puerto ricans refusing go home aside aftershock ground southwest puerto rico,11
aftershock,Toronto,2010 - Inception. The Social Network. Easy A. Black Swan. Toy Story 3. The Kids are All Right. Aftershock.,0,inception social network easy black swan toy story kid right aftershock,11
aftershock,Texas,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1,puerto rico hit another magnitude aftershock kyma,7
aftershock,são paulo -sp,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,1,puerto rico hit another magnitude aftershock kyma,7
aftershock,"  Philippines ,From America",A other Hard hit https://t.co/x3e2mf6DKo,0,hard hit,2
aftershock,Islamabad,"Musharaf verdict was just mild aftershock of extension, one should not worry what comes after extention.",0,musharaf verdict mild aftershock extension one worry come extention,9
aftershock,"Flatbush, Brooklyn",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1,puerto rico hit another magnitude aftershock kyma,7
aftershock,"Surabaya, Indonesia",Kumera yellow Aftershock #PH19FOSSIL featured in bankbtn Good Living magazine Photography Stylist shino… https://t.co/V9LJ65ttzR,0,kumera yellow aftershock phfossil featured bankbtn good living magazine photography stylist shino,12
aftershock,unknown,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,1,puerto rico hit another magnitude aftershock kyma,7
aftershock,NYC,Please pray for #PuertoRico!!!!! https://t.co/uWqP2yNohW,0,please pray puertorico,3
aftershock,ethers,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,1,puerto rico hit another magnitude aftershock kyma,7
aftershock,"Ковров, Россия",И снова о кризисе демографии (Yakov_Z) https://t.co/BlgYuNumDG,0,yakovz,1
aftershock,"Planet Eyal, Shandral System",Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,1,darkake yeek possessor killed possession aftershock ritches tunnel,8
aftershock,unknown,Check out my latest video... SUPERZERO VOL. 1 - CLOSER LOOK https://t.co/T36KGXJdvY A closer look at SUPERZERO VOL. 1 by Am…,0,check latest video superzero vol closer look closer look superzero vol,11
aftershock,unknown,Might be a small aftershock. I didn't feel anything,0,might small aftershock feel anything,5
aftershock,"Brooklyn, NY","Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGS’ 30-Day aftershock s… https://t.co/bYIBfpLHYg",0,stay informed stay engaged going puertorico earthquake usgs day aftershock,10
aftershock,unknown,This isnt good. I feel for the people of Puerto Rico https://t.co/gZC7TYroxS,0,good feel people puerto rico,5
aftershock,"Melbourne, Victoria","Aftershock Vapor 15 Pro Review – Aussie, Aussie, Aussie https://t.co/pWNq3VAr2r #PowerUpAU",0,aftershock vapor pro review aussie aussie aussie powerupau,8
aftershock,unknown,Puerto Rico Worker explains Earthquake aftershock. Pleading to go viral https://t.co/hhfjQNLEt8 via,0,puerto rico worker explains earthquake aftershock pleading go viral via,10
aftershock,Piscataway land // DC,this is an unfathomable number. I lived through a large earthquake and we slept under the table for one terrible night…,0,unfathomable number lived large earthquake slept table one terrible night,10
aftershock,DEPRESSED VIBES,nah I need calm down 💀 https://t.co/eOKphShN5R,0,nah need calm,3
aftershock,unknown,thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,thinking spat blood marilyn manson set aftershock,7
aftershock,unknown,"If two quakes have about the same magnitude, you cannot say one is the other's preshock or aftershock. Only when one is obv…",0,two quake magnitude say one others preshock aftershock one obv,10
aftershock,unknown,"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…",1,mm aftershock happens within day mm main shock predict say,10
aftershock,unknown,I don't think Silivri M4.8 is an aftershock of the Silivri M5.7 a few months ago. 😀 Quake professors always say such nonsen…,0,think silivri aftershock silivri month ago quake professor always say nonsen,11
aftershock,"Bum Fuck, California",I think it’s an aftershock from ’s lyrical beat down. Brent never recovered.,0,think aftershock lyrical beat brent never recovered,7
aftershock,unknown,Apex is all about separating from Monarch. They’re “separation. Well from my theory on how MechaGod… https://t.co/aBzDKqocPv,0,apex separating monarch separation well theory mechagod,7
aftershock,unknown,Or sending my mate Simon to the bar and asking for a Guiness but ending up with a Carlsberg Export and a Mint After…,0,sending mate simon bar asking guiness ending carlsberg export mint,10
aftershock,unknown,#USGS #earthquake experts are in #PuertoRico installing temporary seismometers to help track seismic events including a Jan. 7 ma…,0,usgs earthquake expert puertorico installing temporary seismometers help track seismic event including january,13
aftershock,"Wilmington, NC- USA",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1,puerto rico hit another magnitude aftershock kyma,7
aftershock,"Dream big ,NYC , FL\LA✈️✨💼😎","Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…",1,weekend puerto rico struck aftershock causing damage home school leaving thou,11
aftershock,DEPRESSED VIBES,How could you leave when I gave you my all 💔,0,could leave gave,3
aftershock,unknown,"For the full experience, start with this one, 1st in the series. Food was running low. To save the young, the governor…",0,full experience start one st series food running low save young governor,12
aftershock,NYC,The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,1,magnitude quake puertorico morning caused day aftershock forecast change estimate increased,11
aftershock,10.28.33N  / 066.57.79W,We continue to update our 30-day aftershock forecast scenarios for #PuertoRico. Forecasts are posted in both English https://t.co…,0,continue update day aftershock forecast scenario puertorico forecast posted english,10
aftershock,"Texas, USA",Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1,another aftershock hit puerto rico last night people go home even one po,13
aftershock,"St Augustine, FL",Aftershock comics. We prefer working in partnership with our creators to build out that team from the ground up.,0,aftershock comic prefer working partnership creator build team ground,9
aftershock,RVA✈️FLA,Did the other earthquake/aftershock mess up the power again?!,0,earthquakeaftershock mess power,3
aftershock,PA,Aftershock forecast for Puerto Rico,0,aftershock forecast puerto rico,4
airplane%20accident,"California, USA",Like Iran shooting an airplane was an accident,1,like iran shooting airplane accident,5
airplane%20accident,unknown,Bing Bong Airplane Accident Remix,0,bing bong airplane accident remix,5
airplane%20accident,Inside my head,Morgan is surprised to see Shaun back at work already and offers her condolences on his dad. Shaun says the airplan… https://t.co/SXwRBa7hj5,0,morgan surprised see shaun back work already offer condolence dad shaun say airplan,13
airplane%20accident,Australia,"That’s a load of rubbish, there was never an imminent threat, Jesus Christ!!!Iran sho… https://t.co/C815DfZF7C",0,load rubbish never imminent threat jesus christiran sho,8
airplane%20accident,"Greenwich, CT","Actually, blocking the internet was just an accident. You know, just like when Iran shot down the Ukrainian airplane.",1,actually blocking internet accident know like iran shot ukrainian airplane,10
airplane%20accident,"Michigan, USA",Conclusion 8 on previous page is incorrect IMHO. “The witness observations of a streak of light we… https://t.co/tz4Xv7uXCw,0,conclusion previous page incorrect imho witness observation streak light,9
airplane%20accident,Iran,"The celebrities in Iran that are very sadly about our compatriots that killed with downing UK airplane,not only di… https://t.co/CtjVwIcH2v",0,celebrity iran sadly compatriot killed downing uk airplanenot di,9
airplane%20accident,"Virginia, USA",So Iranian radars cannot tell the difference between an incoming missile and an out going Ukrainian airplane? What… https://t.co/hoeEJEUIHE,1,iranian radar tell difference incoming missile going ukrainian airplane,9
airplane%20accident,West coast True north  i stan juggalos,"Had a look at your timeline, i see you hate my coun… https://t.co/30cMQ9gsPj",0,look timeline see hate coun,5
airplane%20accident,unknown,"MILITARY MISTAKES, 1988 US-MILITARY SHOT DOWN AN IRANIAN PASSENGER AIRPLANE! 2020 IRANIAN MILITARY SHOT DOWN AN UKR… https://t.co/177gbnqiHt",1,military mistake usmilitary shot iranian passenger airplane iranian military shot ukr,11
airplane%20accident,unknown,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airplane U…,1,secret antispying service middle east high alert demolition commercial airplane,10
airplane%20accident,هرجا که دلت باشد,"My friend i live here , believe me... Its our basic rights that know what happened… https://t.co/49nbXHuTfP",0,friend live believe basic right know happened,7
airplane%20accident,unknown,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airpl… https://t.co/9pZViFDPkv,1,secret antispying service middle east high alert demolition commercial airpl,10
airplane%20accident,unknown,How is it that Iran fired between 12 and 20 surface to surface missiles...…..then FIRED A SURFACE TO AIR MISSILE AT… https://t.co/mpkttFCAFB,0,iran fired surface surface missilesthen fired surface air missile,9
airplane%20accident,unknown,"Basically, you killed the general, put the whole country into a confusing status, they shoot a civ… https://t.co/P1lKrqhP1Y",0,basically killed general put whole country confusing status shoot civ,10
airplane%20accident,GOV of Georgia♥️ Janny Cares,"No, I was referring to the shooting down of the airplane. I really do…",0,referring shooting airplane really,4
airplane%20accident,"Saskatchewan, Canada","No, I was referring to the shooting down of the airplane. I… https://t.co/xKVqRdtjhR",0,referring shooting airplane,3
airplane%20accident,Canada,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000 fee…,0,anyone belief incident accident idiot airplane approx fee,8
airplane%20accident,unknown,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000… https://t.co/axT3omjmE1,0,anyone belief incident accident idiot airplane approx,7
airplane%20accident,"Port Charlotte, FL","Iran did not blow up an airplane by accident, they intended for it to be shot down! The accident is that it was a civilian aircraft!",1,iran blow airplane accident intended shot accident civilian aircraft,9
airplane%20accident,artemis,But... The airplane accident...,1,airplane accident,2
airplane%20accident,unknown,"Mr M u hold p.Trump accountable for the airplane accident.we r very sad too,but pls don’t tweet abo… https://t.co/cqsMfVTLMW",0,mr hold ptrump accountable airplane accidentwe r sad toobut pls tweet abo,12
airplane%20accident,Nigeria,"Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, kidnap,…",0,dial tollfree phone event wish report fire flood theft armed robbery kidnap,12
airplane%20accident,"Ilawe-Ekiti, Nigeria","Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, k… https://t.co/1e2jgI6C8Q",0,dial tollfree phone event wish report fire flood theft armed robbery k,12
airplane%20accident,Florida,So Iran can shoot down a commercial airplane and claim it was an accident. Does ANYONE really believe that?!!! 😡😡😡😡,1,iran shoot commercial airplane claim accident anyone really believe,9
airplane%20accident,Calgary AB,You may be unaware that CND is currently in mourning. 57 Canadians were downed in an airplane by accident in Iran. Flag…,1,may unaware cnd currently mourning canadian downed airplane accident iran flag,11
airplane%20accident,"Saskatchewan, Canada","Sorry for your loss, Iran should never have shot the airplane out of the sky. ‘accident’ they say",0,sorry loss iran never shot airplane sky accident say,9
airplane%20accident,"Toronto, Ontario","It wasn't, Iranians knew when takeoff was happening &amp; they knew the airplane manufacturer was American.… https://t.co/9JNbfB0zWH",0,iranian knew takeoff happening amp knew airplane manufacturer american,9
airplane%20accident,NYC,Mass anti-government protests erupt in Iran after leaders admit to shooting down airliner. Still cannot believe w… https://t.co/dweXwdLBGn,0,mass antigovernment protest erupt iran leader admit shooting airliner still believe w,12
airplane%20accident,New England,I read the whole thread. He’s blaming Trump for Iran shooting down an ai… https://t.co/evL7sdNw0Z,0,read whole thread blaming trump iran shooting ai,8
airplane%20accident,Ontario,airplane accident answers. The US designated the Iranian government as terrorists and ha… https://t.co/7a2OgPYNiQ,0,airplane accident answer u designated iranian government terrorist ha,9
airplane%20accident,State of Louisiana-great food,"Hey, got some swamp land for sale. You are either naive or just plain stupid! Which is it? Iran downing t… https://t.co/fu3cjJf1q8",0,hey got swamp land sale either naive plain stupid iran downing,11
airplane%20accident,"Sachse, Texas","Perhaps prodded by others, Zelensky decides Ukraine has nothing to lose by piling onto Iran. Never seen so many op… https://t.co/bvZj33dZEp",0,perhaps prodded others zelensky decides ukraine nothing lose piling onto iran never seen many op,15
airplane%20accident,unknown,"As a Canadian, I am very concerned. The airplane that was shot down by accident had 67 Canadians - many of Iranian…",0,canadian concerned airplane shot accident canadian many iranian,8
airplane%20accident,Waldo,Shooting an airplane down *by accident* is bullshit. Just like *accidental shootings* of firearms. Especially since… https://t.co/xKEYVGXFiQ,0,shooting airplane accident bullshit like accidental shooting firearm especially since,10
airplane%20accident,United States,"Odd, how the Iranians ACCIDENTALLY blew up the airplane after take off. Was someone just playing with… https://t.co/Y2Yx1gZ6hQ",0,odd iranian accidentally blew airplane take someone playing,8
airplane%20accident,unknown,"As a Canadian, I am very concerned. The airplane that was shot down by accident had 67 Canadians - many… https://t.co/v8MsKmrLyB",0,canadian concerned airplane shot accident canadian many,7
airplane%20accident,United Kingdom,"And. No excuse for shooting down a commercial airplane with innocent civilians on. Oh! Sorry Jeremy, as you say, it was an…",0,excuse shooting commercial airplane innocent civilian oh sorry jeremy say,10
airplane%20accident,"Milwaukee, WI",You beat me to this response. You have to TRACK an airplane with a surface to air missile.…,0,beat response track airplane surface air missile,7
airplane%20accident,"French River, Ontario, Canada","It is unimaginable to have 174 people gone in one ""accident."" How could anyone point a surface to air missile at a… https://t.co/7Abwo7HXuz",0,unimaginable people gone one accident could anyone point surface air missile,11
airplane%20accident,"Siesta Key, FL","So it was just an accident that Iran rocketed an airplane, killing 180 people. And libs defending it like that’s ok b…",0,accident iran rocketed airplane killing people libs defending like ok b,11
airplane%20accident,"Manchester, England","And. No excuse for shooting down a commercial airplane with innocent civilians on. Oh! Sorry Jeremy, as you say, it… https://t.co/gUkc4ToutN",0,excuse shooting commercial airplane innocent civilian oh sorry jeremy say,10
airplane%20accident,"New Jersey, USA",Well let’s see. We know so far the body count of demonstrators was over… https://t.co/sPpCsKbUq0,0,well let u see know far body count demonstrator,9
airplane%20accident,"Michigan, USA",You beat me to this response. You have to TRACK an airplane with a surface to air missi… https://t.co/RFyWvNqO2Z,0,beat response track airplane surface air missi,7
airplane%20accident,"Canada, eh",Good lord...... Yeah. It was an accident. The airplane didn't give the missile the right away.... 😒,0,good lord yeah accident airplane give missile right away,9
airplane%20accident,unknown,"The Iranian leadership has downed the commercial airplane on purpose, who are they kidding by saying it was by accident",0,iranian leadership downed commercial airplane purpose kidding saying accident,9
airplane%20accident,#السعودية_العظمى,"Ooh look, NYT became a lawyer for the Iranian regime What a stupid newspaper, it’s now time, there are vi… https://t.co/SbfUCNkMpr",0,ooh look nyt became lawyer iranian regime stupid newspaper time vi,11
airplane%20accident,Iowa,How exactly does one accidentally fire a rocket? At an airplane leaving your own countries airport. This… https://t.co/LQdfG1THTN,0,exactly one accidentally fire rocket airplane leaving country airport,9
